id,Latitude,Longitude,ToNde,Velocity,Capacity,Distance
100914124,52.50126451068565,13.386308487300777,100912392+350256527+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+298.2888905705415+,
101212646,52.55623589451696,13.429246239876068,101213421+12615171+,8.333333333333334+8.333333333333334+,1000.0+4000.0+,261.7239758392339+30.0+,
101213421,52.55743003788229,13.432570274143206,281472981+29420472+29554346+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+2000.0+1000.0+,486.3784283686473+30.0+939.1139939265195+,
101333380,52.43533902648158,13.541344196732123,186819944+297091393+443066890+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+1000.0+3000.0+,30.0+1928.6861720566894+1034.6065424912551+,
101471629,52.500488806591946,13.35366456112471,101471630+101472541+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,119.52955602290425+52.7243730533344+,
101471630,52.501544088790446,13.3533385170201,101471629+26823017+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,119.52955602290425+59.02280053799736+,
101472351,52.502107826475935,13.353067858073967,101471630+26823017+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,65.37514683828552+30.0+,
101472541,52.50001855941074,13.35375894212351,26823009+26823026+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+30.0+,
101478520,52.5017231014265,13.348170519622045,162065944+,5.0+,1310.4+,41.49172119644899+,
101479834,52.50030828196429,13.345066455466712,101479835+,8.333333333333334+,2734.4+,39.89655387140878+,
101479835,52.50018639933729,13.344514017462979,101479836+,8.333333333333334+,2734.4+,38.09506680066874+,
101479836,52.50010811171722,13.343967979463883,26704771+,8.333333333333334+,1367.2+,205.87742545161902+,
101480201,52.49962195372237,13.346039130868066,773116128+,8.333333333333334+,2574.4+,41.17433202832451+,
101480266,52.50011099720201,13.346190221722525,101480420+26704087+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+84.7747717128365+,
101480420,52.50022818594134,13.34586876102216,101479834+21487243+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,55.64845385334022+30.0+,
102344317,52.54123770306602,13.412636113230047,102345012+27484569+,3.0+3.0+,1200.0+600.0+,30.0+680.781020366246+,
102345012,52.54132349556992,13.412281255892665,277029677+,8.333333333333334+,2000.0+,189.15702428765283+,
102907246,52.419876187717165,14.106369530455703,52292458+,3.0+,600.0+,4629.480531060444+,
102918588,52.511636034622384,13.307648291129775,102918591+26736168+,8.333333333333334+8.333333333333334+,1000.0+4000.0+,113.8917763066245+30.0+,
102918591,52.51265362017905,13.307469829368754,102918596+26682516+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,239.63664776588894+30.0+,
102918596,52.51476248432018,13.306895232377991,102918598+26784946+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,202.6206668895556+30.0+,
102918598,52.51657797954517,13.30667018978059,26784914+26784926+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,63.881264129113916+30.0+,
103553858,52.504006817709694,13.351977017152635,103554408+26822978+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,72.8184338587957+54.22548202709379+,
103553865,52.50453496307704,13.351136223745318,195414764+26822970+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,133.74348438658143+30.836784563404322+,
103554408,52.50448046804665,13.35132760060903,26822971+,8.333333333333334+,2000.0+,77.03952127377065+,
103561134,52.50549293814118,13.369355526369258,268854883+,8.333333333333334+,2546.6+,30.0+,
105789410,52.43260815369709,13.554707402280927,150751448+261609382+593920221+,3.0+8.333333333333334+8.333333333333334+,600.0+2000.0+2000.0+,1031.2551590307892+336.9559221937043+569.1009232848761+,
107274447,52.52484535272136,13.430378474608316,197351012+197353988+29269802+,3.0+3.0+3.0+,600.0+600.0+600.0+,247.67477008593357+503.2571358920803+124.99883602446187+,
107298813,52.53219423056612,13.287249113096154,21487120+,10.0+,7024.4+,32.02337960736832+,
107719854,52.0998256449464,13.373972838190856,290663998+29914442+,8.333333333333334+8.333333333333334+,1000.0+1000.0+,4966.500421969718+4078.2027795606436+,
109054361,52.38168566766517,13.795560757632321,86468503+,3.0+,600.0+,3958.735138039419+,
110047523,52.380932478594694,12.867704850012402,29526157+361122938+87068304+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+1000.0+2000.0+,2344.0961444000377+5359.421261699193+2081.04908446398+,
110057069,52.34776664082994,12.765480067872314,110057086+110057110+361122938+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+2000.0+1000.0+,50.15305354586917+30.0+2938.720852854265+,
110057086,52.34749987323367,12.765174298357993,110057069+110057110+303524566+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+2000.0+1000.0+,50.15305354586917+49.19475957381242+719.2536391861393+,
110057110,52.34784563386018,12.765185503348158,110057069+110057086+281689281+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+2000.0+1000.0+,30.0+49.19475957381242+1540.6171094452156+,
110958216,52.4253219438743,13.822565330059378,21509174+265320701+265666585+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+1000.0+1000.0+,2510.2794109268216+1017.3208982504384+4429.196723553778+,
115953512,52.32582458668508,13.147549517327882,29907833+53432954+60150498+,3.0+3.0+3.0+,600.0+600.0+600.0+,1846.2966024788557+920.998276290493+6091.516533943912+,
119860685,52.4871401913078,14.08051237773304,119860938+120086731+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,2264.1945833449167+7966.920674630228+,
119860938,52.49918566736214,14.107189567114142,119860685+271170876+29877346+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+2000.0+2000.0+,2264.1945833449167+2112.512766987386+11860.825298165704+,
120086731,52.42657728292483,14.044984955111252,119860685+286654848+52268199+,8.333333333333334+3.0+8.333333333333334+,2000.0+600.0+2000.0+,7966.920674630228+6295.408958036618+5797.809760755622+,
122087860,52.49921975345196,13.432011450110512,29276773+332319232+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+413.12311646157144+,
122087872,52.49616504125566,13.393987009572054,26747527+,5.0+,597.1+,231.16465553484716+,
122341666,52.47742343668405,13.478557882114785,122341674+20246246+26953753+,8.333333333333334+8.333333333333334+3.0+,4000.0+2000.0+600.0+,30.0+525.8263162710837+438.41579776751735+,
122341674,52.47754362173452,13.478763860248405,122341666+20246206+,8.333333333333334+8.333333333333334+,4000.0+2000.0+,30.0+548.9266035213114+,
122341702,52.460643698382576,13.501681718295474,201614971+28341799+533757985+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+2000.0+2000.0+,413.4261058804279+176.4457016904175+30.0+,
122341777,52.48417903153002,13.468622948376403,-190+,8.333333333333334+,4000.0+,30.0+,
122399499,52.291053346478996,13.985315149330539,122413825+36736332+59825381+,3.0+8.333333333333334+8.333333333333334+,600.0+1000.0+1000.0+,3211.950947989979+4732.6583265899235+575.3419902954931+,
122413825,52.26457798563145,13.997806491003878,122399499+287456535+,3.0+3.0+,600.0+600.0+,3211.950947989979+142.07566515378645+,
122569285,52.39812185021669,13.92068132074019,29877346+52360860+52366388+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+1000.0+1000.0+,10164.172451213199+814.3013577982686+3106.1067929730602+,
124146774,52.56931627475442,13.403083201798387,29428741+344070622+,8.333333333333334+8.333333333333334+,2000.0+4000.0+,115.67842575435107+33.22094538409178+,
12456377,52.343892440639316,12.8155729088145,24557460+60373342+,16.666666666666668+10.0+,6000.0+3000.0+,1137.4436565391306+1040.841910125961+,
12456388,52.55211838940367,12.963684311895433,27220403+,16.666666666666668+,4000.0+,263.06471369190893+,
12456389,52.57202667269922,12.972138088870821,24557201+,16.666666666666668+,4000.0+,1452.6182634795537+,
125560338,52.482784873212466,13.34499166391197,26867705+26867842+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,90.10970705988728+34.303677066182985+,
12614600,52.52640006681625,13.447690291476194,29266373+29270276+,8.333333333333334+8.333333333333334+,3000.0+4000.0+,748.7117516980176+30.0+,
12614606,52.512812497019674,13.481581327905028,29796812+433557530+,8.333333333333334+8.333333333333334+,3000.0+4000.0+,185.03869801681594+30.0+,
12614629,52.51037014171172,13.5187305751838,12614675+29806594+,8.333333333333334+8.333333333333334+,2000.0+6000.0+,126.16345695401448+59.20654044298506+,
12614635,52.51332390568957,13.51880391627628,12614652+12614668+,5.0+8.333333333333334+,987.7+2000.0+,220.98474361660655+30.0+,
12614652,52.511338331412475,13.518779685742512,637546671+,5.0+,1975.4+,67.02456341911714+,
12614668,52.513315604531115,13.519140077118855,12614635+29807710+29857985+,8.333333333333334+8.333333333333334+3.0+,2000.0+1000.0+600.0+,30.0+112.5711300273806+1878.8539909282463+,
12614672,52.51032824429381,13.519078934048586,12614668+,8.333333333333334+,3000.0+,332.51419669123067+,
12614675,52.50979601548354,13.51736342421719,52720021+,8.333333333333334+,2000.0+,305.34136346437714+,
12614678,52.50996872377936,13.512899745179979,12614682+276654797+,8.333333333333334+8.333333333333334+,3000.0+2000.0+,294.4564314156404+819.7085980848271+,
12614682,52.50952394761017,13.517168642254543,292447155+506039617+,8.333333333333334+8.333333333333334+,6000.0+2000.0+,80.02308017745479+175.65600326895708+,
12614683,52.51332696873438,13.476780393786363,441156871+598234402+,8.333333333333334+8.333333333333334+,2000.0+6000.0+,200.55001251562476+30.0+,
12615161,52.55165800702202,13.430419025767337,288101517+29420509+,3.0+8.333333333333334+,1200.0+2000.0+,32.447748337695614+315.25415478951896+,
12615162,52.5474118020975,13.42839258883917,29269373+,8.333333333333334+,1152.1+,197.55463031546907+,
12615168,52.5837599504781,13.432149271427265,12696804+,16.666666666666668+,4000.0+,3408.3050505307547+,
12615171,52.556397576425866,13.429203347609674,29420114+29778567+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+611.518011794681+,
12615173,52.550926693189886,13.429927170442745,16541701+29269475+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+369.46535354334134+,
12615175,52.58023266897538,13.429309341289478,76607911+76614311+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,219.79966741319427+317.6511123751742+,
12615185,52.57927677793949,13.429243332666262,12615175+,8.333333333333334+,2000.0+,106.67209787092683+,
